phase_size, mean_jobs, 
0.1, 1.04884, 
0.2, 1.18917, 
0.3, 1.47552, 
0.4, 1.64838, 
0.5, 2.09108, 
0.6, 2.46836, 
0.7, 3.17083, 
0.8, 3.14794, 
0.9, 4.30436, 
1, 3.99183, 
1.1, 5.07045, 
1.2, 5.65305, 
1.3, 6.49505, 
1.4, 7.14197, 
1.5, 8.13484, 
1.6, 8.32004, 
1.7, 14.3576, 
1.8, 20.9449, 
1.9, 18.2667, 
2, 42.9198, 
2.1, 28.4176, 
2.2, 32.3346, 
2.3, 30.7853, 
2.4, 45.3628, 
2.5, 54.3079, 
2.6, 63.089, 
2.7, 73.3906, 
2.8, 61.265, 
2.9, 79.1951, 
3, 66.8883, 
3.1, 94.4182, 
3.2, 86.1127, 
3.3, 103.225, 
3.4, 100.63, 
